variable,years,short_desc,long_desc,sources,category,plaintext_cite,bibtex_cite,plaintext_cite2,bibtex_cite2,plaintext_cite3,bibtex_cite3,plaintext_cite4,bibtex_cite4
all_other_taxes,2012-2016,All other taxes,"All state government finance data from the Census Bureau are in 1,000s of current dollars.",United States Census Bureau: https://factfinder.census.gov/faces/nav/jsf/pages/programs.xhtml?program=as gov,economic-fiscal,"Connolly, Rachel, et al. ""Estimating mortality impacts from vehicle emission reduction efforts: The Tune In and Tune Up program in the San Joaquin Valley."" Transportation Research Part D: Transport and Environment 78 (2020): 102190.","@article{connolly2020estimating,
  title={Estimating mortality impacts from vehicle emission reduction efforts: The Tune In and Tune Up program in the San Joaquin Valley},
  author={Connolly, Rachel and Pierce, Gregory and Gattaciecca, Julien and Zhu, Yifang},
  journal={Transportation Research Part D: Transport and Environment},
  volume={78},
  pages={102190},
  year={2020},
  publisher={Elsevier}
}",NA,NA,NA,NA,NA,NA
corporation_net_income_taxes,2012-2016,Corporation net income taxes,"All state government finance data from the Census Bureau are in 1,000s of current dollars.",United States Census Bureau: https://factfinder.census.gov/faces/nav/jsf/pages/programs.xhtml?program=as gov,economic-fiscal,"Connolly, Rachel, et al. ""Estimating mortality impacts from vehicle emission reduction efforts: The Tune In and Tune Up program in the San Joaquin Valley."" Transportation Research Part D: Transport and Environment 78 (2020): 102190.","@article{connolly2020estimating,
  title={Estimating mortality impacts from vehicle emission reduction efforts: The Tune In and Tune Up program in the San Joaquin Valley},
  author={Connolly, Rachel and Pierce, Gregory and Gattaciecca, Julien and Zhu, Yifang},
  journal={Transportation Research Part D: Transport and Environment},
  volume={78},
  pages={102190},
  year={2020},
  publisher={Elsevier}
}",NA,NA,NA,NA,NA,NA
current_charges,2012-2016,Current charges,"All state government finance data from the Census Bureau are in 1,000s of current dollars.",United States Census Bureau: https://factfinder.census.gov/faces/nav/jsf/pages/programs.xhtml?program=as gov,economic-fiscal,"Connolly, Rachel, et al. ""Estimating mortality impacts from vehicle emission reduction efforts: The Tune In and Tune Up program in the San Joaquin Valley."" Transportation Research Part D: Transport and Environment 78 (2020): 102190.","@article{connolly2020estimating,
  title={Estimating mortality impacts from vehicle emission reduction efforts: The Tune In and Tune Up program in the San Joaquin Valley},
  author={Connolly, Rachel and Pierce, Gregory and Gattaciecca, Julien and Zhu, Yifang},
  journal={Transportation Research Part D: Transport and Environment},
  volume={78},
  pages={102190},
  year={2020},
  publisher={Elsevier}
}",NA,NA,NA,NA,NA,NA
exp_correction,2012-2016,"General expenditure, by function: correction","All state government finance data from the Census Bureau are in 1,000s of current dollars.",United States Census Bureau: https://factfinder.census.gov/faces/nav/jsf/pages/programs.xhtml?program=as gov,economic-fiscal,"Connolly, Rachel, et al. ""Estimating mortality impacts from vehicle emission reduction efforts: The Tune In and Tune Up program in the San Joaquin Valley."" Transportation Research Part D: Transport and Environment 78 (2020): 102190.","@article{connolly2020estimating,
  title={Estimating mortality impacts from vehicle emission reduction efforts: The Tune In and Tune Up program in the San Joaquin Valley},
  author={Connolly, Rachel and Pierce, Gregory and Gattaciecca, Julien and Zhu, Yifang},
  journal={Transportation Research Part D: Transport and Environment},
  volume={78},
  pages={102190},
  year={2020},
  publisher={Elsevier}
}",NA,NA,NA,NA,NA,NA
exp_direct,2012-2016,Total expenditure: direct expenditure,"All state government finance data from the Census Bureau are in 1,000s of current dollars.",United States Census Bureau: https://factfinder.census.gov/faces/nav/jsf/pages/programs.xhtml?program=as gov,economic-fiscal,"Connolly, Rachel, et al. ""Estimating mortality impacts from vehicle emission reduction efforts: The Tune In and Tune Up program in the San Joaquin Valley."" Transportation Research Part D: Transport and Environment 78 (2020): 102190.","@article{connolly2020estimating,
  title={Estimating mortality impacts from vehicle emission reduction efforts: The Tune In and Tune Up program in the San Joaquin Valley},
  author={Connolly, Rachel and Pierce, Gregory and Gattaciecca, Julien and Zhu, Yifang},
  journal={Transportation Research Part D: Transport and Environment},
  volume={78},
  pages={102190},
  year={2020},
  publisher={Elsevier}
}",NA,NA,NA,NA,NA,NA
exp_direct_assistance_subsidies,2012-2016,Total expenditure: direct expenditure (assistance and subsidies),"All state government finance data from the Census Bureau are in 1,000s of current dollars.",United States Census Bureau: https://factfinder.census.gov/faces/nav/jsf/pages/programs.xhtml?program=as gov,economic-fiscal,"Connolly, Rachel, et al. ""Estimating mortality impacts from vehicle emission reduction efforts: The Tune In and Tune Up program in the San Joaquin Valley."" Transportation Research Part D: Transport and Environment 78 (2020): 102190.","@article{connolly2020estimating,
  title={Estimating mortality impacts from vehicle emission reduction efforts: The Tune In and Tune Up program in the San Joaquin Valley},
  author={Connolly, Rachel and Pierce, Gregory and Gattaciecca, Julien and Zhu, Yifang},
  journal={Transportation Research Part D: Transport and Environment},
  volume={78},
  pages={102190},
  year={2020},
  publisher={Elsevier}
}",NA,NA,NA,NA,NA,NA
exp_direct_capital_outlay,2012-2016,Total expenditure: direct expenditure (capital outlay),"All state government finance data from the Census Bureau are in 1,000s of current dollars.",United States Census Bureau: https://factfinder.census.gov/faces/nav/jsf/pages/programs.xhtml?program=as gov,economic-fiscal,"Connolly, Rachel, et al. ""Estimating mortality impacts from vehicle emission reduction efforts: The Tune In and Tune Up program in the San Joaquin Valley."" Transportation Research Part D: Transport and Environment 78 (2020): 102190.","@article{connolly2020estimating,
  title={Estimating mortality impacts from vehicle emission reduction efforts: The Tune In and Tune Up program in the San Joaquin Valley},
  author={Connolly, Rachel and Pierce, Gregory and Gattaciecca, Julien and Zhu, Yifang},
  journal={Transportation Research Part D: Transport and Environment},
  volume={78},
  pages={102190},
  year={2020},
  publisher={Elsevier}
}",NA,NA,NA,NA,NA,NA
exp_direct_current_operations,2012-2016,Total expenditure: direct expenditure (current operations),"All state government finance data from the Census Bureau are in 1,000s of current dollars.",United States Census Bureau: https://factfinder.census.gov/faces/nav/jsf/pages/programs.xhtml?program=as gov,economic-fiscal,"Connolly, Rachel, et al. ""Estimating mortality impacts from vehicle emission reduction efforts: The Tune In and Tune Up program in the San Joaquin Valley."" Transportation Research Part D: Transport and Environment 78 (2020): 102190.","@article{connolly2020estimating,
  title={Estimating mortality impacts from vehicle emission reduction efforts: The Tune In and Tune Up program in the San Joaquin Valley},
  author={Connolly, Rachel and Pierce, Gregory and Gattaciecca, Julien and Zhu, Yifang},
  journal={Transportation Research Part D: Transport and Environment},
  volume={78},
  pages={102190},
  year={2020},
  publisher={Elsevier}
}",NA,NA,NA,NA,NA,NA
exp_direct_insurance,2012-2016,Total expenditure: direct expenditure (insurance benefits and repayments),"All state government finance data from the Census Bureau are in 1,000s of current dollars.",United States Census Bureau: https://factfinder.census.gov/faces/nav/jsf/pages/programs.xhtml?program=as gov,economic-fiscal,"Connolly, Rachel, et al. ""Estimating mortality impacts from vehicle emission reduction efforts: The Tune In and Tune Up program in the San Joaquin Valley."" Transportation Research Part D: Transport and Environment 78 (2020): 102190.","@article{connolly2020estimating,
  title={Estimating mortality impacts from vehicle emission reduction efforts: The Tune In and Tune Up program in the San Joaquin Valley},
  author={Connolly, Rachel and Pierce, Gregory and Gattaciecca, Julien and Zhu, Yifang},
  journal={Transportation Research Part D: Transport and Environment},
  volume={78},
  pages={102190},
  year={2020},
  publisher={Elsevier}
}",NA,NA,NA,NA,NA,NA
exp_direct_interest,2012-2016,Total expenditure: direct expenditure (interest on debt),"All state government finance data from the Census Bureau are in 1,000s of current dollars.",United States Census Bureau: https://factfinder.census.gov/faces/nav/jsf/pages/programs.xhtml?program=as gov,economic-fiscal,"Connolly, Rachel, et al. ""Estimating mortality impacts from vehicle emission reduction efforts: The Tune In and Tune Up program in the San Joaquin Valley."" Transportation Research Part D: Transport and Environment 78 (2020): 102190.","@article{connolly2020estimating,
  title={Estimating mortality impacts from vehicle emission reduction efforts: The Tune In and Tune Up program in the San Joaquin Valley},
  author={Connolly, Rachel and Pierce, Gregory and Gattaciecca, Julien and Zhu, Yifang},
  journal={Transportation Research Part D: Transport and Environment},
  volume={78},
  pages={102190},
  year={2020},
  publisher={Elsevier}
}",NA,NA,NA,NA,NA,NA
exp_education,2012-2016,"General expenditure, by function: education","All state government finance data from the Census Bureau are in 1,000s of current dollars.",United States Census Bureau: https://factfinder.census.gov/faces/nav/jsf/pages/programs.xhtml?program=as gov,economic-fiscal,"Connolly, Rachel, et al. ""Estimating mortality impacts from vehicle emission reduction efforts: The Tune In and Tune Up program in the San Joaquin Valley."" Transportation Research Part D: Transport and Environment 78 (2020): 102190.","@article{connolly2020estimating,
  title={Estimating mortality impacts from vehicle emission reduction efforts: The Tune In and Tune Up program in the San Joaquin Valley},
  author={Connolly, Rachel and Pierce, Gregory and Gattaciecca, Julien and Zhu, Yifang},
  journal={Transportation Research Part D: Transport and Environment},
  volume={78},
  pages={102190},
  year={2020},
  publisher={Elsevier}
}",NA,NA,NA,NA,NA,NA
exp_general_intergovernmental,2012-2016,"General expenditure, by function: intergovernment al general expenditure","All state government finance data from the Census Bureau are in 1,000s of current dollars.",United States Census Bureau: https://factfinder.census.gov/faces/nav/jsf/pages/programs.xhtml?program=as gov,economic-fiscal,"Connolly, Rachel, et al. ""Estimating mortality impacts from vehicle emission reduction efforts: The Tune In and Tune Up program in the San Joaquin Valley."" Transportation Research Part D: Transport and Environment 78 (2020): 102190.","@article{connolly2020estimating,
  title={Estimating mortality impacts from vehicle emission reduction efforts: The Tune In and Tune Up program in the San Joaquin Valley},
  author={Connolly, Rachel and Pierce, Gregory and Gattaciecca, Julien and Zhu, Yifang},
  journal={Transportation Research Part D: Transport and Environment},
  volume={78},
  pages={102190},
  year={2020},
  publisher={Elsevier}
}",NA,NA,NA,NA,NA,NA
exp_governmental_administration,2012-2016,"General expenditure, by function: governmental administration","All state government finance data from the Census Bureau are in 1,000s of current dollars.",United States Census Bureau: https://factfinder.census.gov/faces/nav/jsf/pages/programs.xhtml?program=as gov,economic-fiscal,"Connolly, Rachel, et al. ""Estimating mortality impacts from vehicle emission reduction efforts: The Tune In and Tune Up program in the San Joaquin Valley."" Transportation Research Part D: Transport and Environment 78 (2020): 102190.","@article{connolly2020estimating,
  title={Estimating mortality impacts from vehicle emission reduction efforts: The Tune In and Tune Up program in the San Joaquin Valley},
  author={Connolly, Rachel and Pierce, Gregory and Gattaciecca, Julien and Zhu, Yifang},
  journal={Transportation Research Part D: Transport and Environment},
  volume={78},
  pages={102190},
  year={2020},
  publisher={Elsevier}
}",NA,NA,NA,NA,NA,NA
